code,es_la
run.webinars.and.other.online.events.from.an.all.in.one.platform.provide.premium.and.seamless.experience.to.attendees.and.marketing.exposure.to.your.sponsors.and.partners,"Ejecuta seminarios web y otros eventos en línea desde una plataforma todo en uno. Brinda una experiencia premium y fluida a los asistentes y exposición de marketing a tus patrocinadores y socios."
premium.branding.options,"Opciones Premium de Marca"
sponsor.promotion,"Promoción de Patrocinio"
attendeee.chat,"Experiencia del asistente"
webinar.documents,"Documentos de Seminarios Web"
learn.more.about.associations.and.glue.up,"Conoce más sobre como las Asociaciones utilizan Glue Up"
an.all.in.one.solution.that.helps.you.save.time.and.focus.on.your.mission.while.keeping.everybody.on.the.same.page,"Una solución todo en uno que te ayuda a ahorrar tiempo y a concentrarte en tu misión mientras mantienes a todos en la misma página."
enable.your.community.to.engage.span.classlineins.anywhere.insspan,"Permite que Tu Comunidad Interactue. <span class=""line""><ins> Donde Sea </ins></span>"
give.your.attendees.and.members.an.easy.way.to.engage.network.and.receive.important.information.no.matter.where.they.are,"Brinda a tus asistentes y miembros una manera fácil de participar, establecer contactos y recibir información importante sin importar dónde se encuentren."
all.in.one.mobile.app,"Aplicación móvil todo en uno"
user.friendly.mobile.app.for.your.communities.that.comes.with.every.glue.up.solution,"Usa aplicaciones para dispositivos móviles amigables para tus comunidades que vienen con cada solución de Glue Up. "
do.it.all.from.one.place,"Hazlo todo desde un solo lugar "
a.single.mobile.app.that.has.everything.your.community.needs.for.maximum.engagement,"Una sola aplicación móvil que tiene todo lo que tu comunidad necesita para obtener maximizar participación."
premium.user.experience.battle.tested.for.your.attendees.and.members.absolute.comfort,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto para ti, tus asistentes y toda tu comunidad."
activate.engagement,"Activar Compromiso "
give.your.community.a.digital.place.where.they.can.share.their.ideas.and.stay.social.even.when.meeting.in.person.is.not.possible,"Brinda a tu comunidad un lugar digital donde puedan compartir sus ideas y mantenerse social incluso cuando no sea posible reunirse en persona."
keep.your.attendees.up.to.date.at.all.times.during.your.physical.and.virtual.events.and.give.them.means.to.build.relationships.and.stay.connected.from.anywhere,"Mantén a tus invitados al corriente todo el tiempo durante tus eventos físicos o virtuales y comparte herramientas con ellos para crear conexiones y mantenerse conectados donde sea."
session.documentsbr.presentations,"Documentos de las Sesiones<br> & Presentaciones"
speaker.bios.and.maps,"Biografía y Mapa de los Ponentes"
live.event.walls,"Muro de publicaciones en vivo"
seamless.brqr.code.check.ins,"Registros de <br>Códigos QR sin problemas"
providebr.extra.value.to.members,"Proporcionar<br> un valor adicional a los miembros"
spoil.your.members.like.never.before.with.an.all.in.one.app.that.lets.them.get.most.of.their.memberships.from.palm.of.their.hand,"Mima a tus miembros como nunca lo habías hecho con una aplicación todo-en-uno que les permite obtener más de su membresía desde la palma de su mano."
member.profile.membership.card,"Perfil de miembros y tarjetas de membresía"
newsletters.notifications,"Boletines y Notificaciones"
make.it.your.business.to.enable.everyone.in.your.community.develop.lasting.relationships.with.you.and.each.other,"Que el objetivo de tu organización sea que tus miembros puedan desarrollar relaciones duraderas contigo y tu comunidad"
1.on.1.chats,"Chats 1 a 1"
contact.profile,"Perfil de Contacto"
showcase.sponsors,"Muestre a los Patrocinadores"
increase.revenue,"Aumento tus ingresos"
monetize.the.app.by.giving.your.sponsors.in.app.visibility.with.banner.ads.profiles.and.push.notifications,"Monetiza tu app dándole a tus patrocinadores visibilidad con banners, perfiles y notificaciones."
sponsor.br.exhibitor.profiles,"Perfil del Patrocinador <br>& Expositor"
membershipbr.exhibitor.directory,"Membresías<br> Y Directorio de Exhibidores"
push.brnotifications,"Empuja <br>Notificaciones"
roi.tracking,"Seguimiento de ROI"
white.label.app,"White-label App"
make.glue.up.app.your.own,"Personaliza la aplicación de Glue Up"
create.a.unified.and.engaging.experience.aligned.with.your.branding.requirements.for.all.of.your.events,"Crea una experiencia unificada y atractiva que este alineada con tus requisitos de marca para todos tus eventos."
custom.login.screen,"Pantalla de inicio de sesión personalizada"
fonts.colours,"Fuentes y Colores"
logos,Logos
customizable.layouts,"Diseños personalizables"
book.a.demo,"Reserva una demo"
run.span.classlineinsbetter.insspanbr.training.programs,"Haz <span class=""line""><ins>Mejores </ins></span><br> Programas de Entrenamiento"
manage.and.scale.up.your.trainings.and.certification.courses.easily,"Administra y escala tus cursos de capacitación y certificación facilmente."
transform.your.training.programs,"Transforma Tus Programas de Entrenamiento"
powerful.apis.widgets.and.integrations.to.acquire.engage.and.retain.more.customers.as.well.as.to.manage.your.data.without.complexities,"APIs poderosos, herramientas e integraciones para adquirir, emocionar y retener más clientes mientras administras tus datos sin complejidad."
registrations,Registros
collect.money.registrations.easily,"Recopila Dinero y Registros Fácilmente"
accept.and.manage.online.registrations.payments.and.invoicing.for.your.online.and.offline.cpd.courses.and.events.automatically,"Acepta y administra registros, pagos y facturación digital para sus cursos y eventos de CPD en y fuera de línea automáticamente."
multiple.currencies,"Multiples monedas"
easy.refund.management,"Administración de reembolsos fácil"
online.offline.events,"Eventos en línea y presenciales"
course.duplication,"Duplicación de Curso"
marketing,Marketing
sell.out.your.courses,"Vende tus Cursos"
increase.sales.with.sophisticated.marketing.tools.that.help.you.get.more.registrations.and.accelerate.your.branding.value,"Aumenta tus venta con sofisticadas herramientas de marketing que te ayudarán a aumentar tus registros y acelerar el valor de tu marca."
social.media.plug.ins,"Conexión a Redes Sociales"
website.widgets,"Widgets de la Página Web"
glue.up.attendee.app,"Aplicación Glue Up Attendee"
understand.your.performance,"Comprende tu Rendimiento"
gain.instant.insights.into.profitability.of.your.courses.and.engagement.of.your.contacts.and.organizations.across.all.of.your.activities.in.one.place,"Obtén información instantánea sobre la rentabilidad de sus cursos y la participación de tus contactos y organizaciones en todas tus actividades en un solo lugar."
cpd.reporting.info,"Información de reportaje CPD"
certificates,Certificados
create.stunning.certificates,"Crea certificados impresionantes "
design.and.issue.great.looking.certificates.for.attendees.that.meet.the.criteria.and.automate.their.distribution.with.easy.to.use.editor,"Diseña y entrega certificados excelentes para los asistentes que cumplan con los criterios y automatiza su distribución con un editor fácil de usar."
certificate.editor,"Editor Certificado"
cpdcpe.credits.tracking,"Seguimiento de créditos CPD / CPE"
archive,"Archivar "
make.great.even.span.classlineins.better.insspan,"Haz lo que ya es genial <span class=""line""><ins> Aún Mejor </ins></span>"
connect.the.tools.you.love.and.use.every.day.with.glue.up.platform.or.built.your.own.connections.with.our.api.to.maximize.your.workflows,"Conecta las herramientas que amas y usas todos los días con la plataforma Glue Up, o crea tus propias conexiones con nuestra API para maximizar sus flujos de trabajo."
become.even.more.efficient,"Se aún más eficiente"
step.up.your.automation,"Aumenta tu automatización"
save.time.and.eliminate.manual.tasks.by.connecting.glue.up.to.your.favorite.software.with.easy.plug.play.integrations,"Ahorra tiempo y elimina tareas manuales al conectar Glue Up a tu sistema favorito con conexiones fáciles a integraciones."
zoom,Zoom
run.all.your.online.and.offline.events.with.ease.by.integrating.zoom.with.glue.up.for.the.best.attendee.experience.possible,"Ejecute todos sus eventos en y fuera de línea con facilidad al integrar Zoom con Glue Up para la mejor experiencia posible para los asistentes."
salesforce,Salesforce
coming.soon,Próximamente
sync.contact.and.deals.data.from.all.activities.you.run.on.glue.up.and.streamline.workflows.for.sales.marketing.and.support,"Sincroniza los datos de contactos y propuestas de todas las actividades que ejecutas en Glue Up y optimiza los flujos de ventas, mercadotecnia y soporte."
powerful.api,"Poderoso API"
build.something.on.your.own,"Crea algo por ti mismo "
integrate.glue.up.features.into.your.own.application.or.website.in.a.fast.easy.and.secure.way.using.our.powerful.apis,"Integra las herramientas de Glue Up a tu propia aplicación o sitio web de una forma rápida y sencilla usando nuestro poderoso API"
detailed.api.documentation,"Documentación  API detallada"
subdomain.access,"Acceso de subdominio"
tech.support,"Soporte técnico"
widgets,Widgets
showcase.glue.up.data.automatically,"Muestre los Datos de Glue Up Automáticamente"
feature.the.important.data.such.as.events.membership.directory.applications.and.other.things.you.create.with.glue.up.platform.to.your.website.visitors.in.real.time.with.easy.to.use.widgets,"Presenta datos importantes como eventos, directorio de membresías, aplicaciones y otras cosas que crees con la plataforma Glue Up para los visitantes de su sitio web en tiempo real con widgets fáciles de usar."
event.widgets,"Widgets de eventos"
membership.widgets,"Herramientas parra membresías"
subscription.widgets,"Suscripción de Widgets"
login.widgets,"Herramientas de registro"
measure.and.brspan.classlineinsunderstand.insspan.feedback,"Mide y <br><span class=""line""><ins>Analiza </ins></span> La Retro Alimentación"
easily.create.surveys.quizzes.and.polls.for.different.audiences.to.gather.and.analyze.their.opinions.and.preferences,"Crea encuestas, cuestionarios y sondeos fácilmente para diferentes audiencias para recopilar y analizar sus opiniones y preferencias."
learn.more.about.your.communities,"Conoce más sobre tus comunidades"
listen.to.your.customers.and.get.their.opinions.on.any.topic,"Escucha a tus consumidores y obtén su opinión de cualquier tema"
surveys,Encuestas
ask.your.community.anything,"Pregúntale lo que sea a tu comunidad"
from.event.feedback.through.industry.studies.to.food.preferences.you.can.ask.your.audiences.anything.you.want,"Desde comentarios sobre eventos a través de estudios de la industria hasta preferencias alimentarias, puedes preguntarles a tu audiencia lo que quieras."
unlimited.question.types,"Tipos de Preguntas Ilimitadas"
event.feedback,"Comentarios del evento"
nps,AC's
member.satisfaction.surveys,"Encuestas de satisfacción de miembros"
brand.awareness.research,"Investigación de reconocimiento de marca"
crm,CRM
collect.all.data.automatically,"Recopila todos los datos automáticamente"
all.survey.replies.are.stored.together.with.other.information.from.the.respondents.and.automatically.synchronized.so.you.can.see.the.big.picture,"Todas las respuestas de las encuestas se almacenan junto con otra información de los encuestados y se sincronizan automáticamente para que puedas ver el panorama general."
flexible,Flexible
customised.branding,"Marca personalizada"
real.time.reports,"Reportes en tiempo real"
templates,Plantillas
create.different.types.of.surveys,"Crea diferentes tipos de encuestas"
save.time.by.choosing.any.of.our.survey.templates.prepared.by.certified.professionals.add.your.own.questions.and.create.different.surveys.to.get.the.answers.you.need.to.make.better.decisions,"Ahorra tiempo al escoger alguna de nuestras plantillas de encuestas preparadas por profesionales certificados, agrega tus propias preguntas y crea diferentes encuestas para obtener las respuestas que necesitas para tomar mejores decisiones. "
opinion.polls,"Encuestas de opinión"
expert.template.design,"Plantillas diseñadas por expertos"
insights,"Descubre tendencias"
consolidate.and.understand.feedback,"Consolida y comprende los comentarios"
analyze.information.you.collect.faster.with.easy.to.use.dashboards.or.export.it.so.you.can.take.further.action,"Analiza la información que recopila más rápido con paneles fáciles de usar o expórtela para que pueda tomar más medidas."
control.how.collected.data.is.shared.and.ensure.that.data.is.both.accessible.and.secure,"Controla cómo se comparten los datos recopilados y asegúrate de que los datos sean accesibles y seguros."
send.span.classlineinsbetter.insspan.campaigns,"Manda <span class=""line""><ins>Mejores </ins></span> Campañas"
personalize.your.communications.and.grow.your.organization.with.branded.email.campaigns.newsletters.and.event.invitations.that.can.be.built.and.sent.in.few.clicks,"Personaliza tu comunicación y crece tu organización con campañas de correo personalizada, boletines e invitaciones a eventos que pueden crearse y enviarse con un par de clicks."
create.and.send.emails.to.connect.with.your.community,"Crea y envía correos electrónicos para conectarte con tu comunidad"
whether.youre.welcoming.new.members.or.promoting.your.events.you.can.send.any.kind.of.email.campaigns.with.great.looks.in.just.a.few.clicks,"Ya sea que estas recibiendo nuevos miembros o promoviendo tus eventos, tu puedes mandar todo tipo de campañas por correo electrónico personalizadas con poco clics."
custom.email.creator,"Creador de correo electrónico personalizado"
make.your.emails.stand.out,"Haz que tus correos destaquen"
use.a.simple.drag.and.drop.editor.or.your.own.custom.html.code.to.create.custom.templates.with.your.own.branding,"Usa un simple agarra-y-deja editor o tu propio código personalizado HTML para crear plantillas personalizadas con tu propia marca. "
drag.drop.html.editor,"Editor de HTML de Arrastrar & Soltar"
custom.branding,"Personalización de marca"
send.push.notifications,"Manda Notificaciones"
email.templates,"Plantillas de correo electrónico"
scale.up.your.email.marketing,"Escala tu Mercadotecnia de Correos Electrónicos"
save.time.with.professional.branded.templates.to.deliver.messages.that.drive.engagement.preview.emails.before.they.go.out.to.ensure.your.messaging.is.exactly.the.way.you.like,"Ahorra tiempo con plantillas profesionales y personalizadas para enviar mensajes que generen compromiso. Verifica correos electrónicos antes de que sean enviados para asegurar que el mensaje es exactamente como lo deseas. "
newsletters,Boletines
email.marketing.automation,"Automatización de marketing por correo electrónico"
event.invitations,"Invitaciones para eventos"
membership.journey.emails,"Correos de pasos para adquirir una membresía"
subscription.lists.website.widgets,"Lista de Suscripciones & Widgets de Página Web"
grow.your.community,"Haz crecer tu comunidad "
deliver.personalized.communications.with.tailored.subscriptions.lists.acquire.more.subscribers.by.embedding.custom.email.sign.up.forms.anywhere.on.the.web,"Entrega comunicaciones personalizadas con listas de suscripciones personalizadas. Adquiere más suscriptores incorporando formularios de registro de correo electrónico personalizados en cualquier lugar de la web."
subscription.management,"Administración de Suscripciones"
sign.up.widgets,"Agrega Widgets"
suppression.management,"Administración de Supresión"
learn.what.emails.work.best,"Conoce más sobre correos efectivos"
optimize.the.success.of.your.outreach.analyze.metrics.and.monitor.the.performance.of.your.email.campaigns.together.with.other.insights.available.in.each.contacts.profile,"Optimiza el éxito de tus alcance de comunicación. Analiza métricas y monitorea el desempeño del tus campañas de correo electrónico junto con otros datos disponibles en los perfiles de contacto."
email.statistics,"Estadísticas de correo electrónico"
bounce.management,"Administración de correos rebotados "
dedicated.ip.address,"Dirección IP dedicada"
stay.protected.at.span.classlineins.all.times.insspan,"Quédate Protegido <span class=""line""><ins> Siempre </ins></span>"
your.and.your.communities.security.is.our.top.priority,"Tu seguridad y la de tu comunidad es nuestra prioridad principal."
you.can.count.on.us,"Puedes Contar con Nosotros"
focus.on.growing.and.engaging.your.community.while.we.take.care.of.the.security,"Concéntrate en hacer crecer e interactuar con tu comunidad mientras nosotros nos ocupamos de la seguridad."
capterra.top.20.rated,"Capterra Top 20 clasificado"
gdpr.compliance,"Cumplimiento GDPR"
daily.backups,"copias de seguridad diarias"
development.philosphy,"Filosofía del Desarrollo"
customer.satisfaction.is.our.highest.priority.and.we.are.working.tirelessly.to.not.only.meet.but.span.classlineins.exceed.insspan.our.clients.expectations,"La satisfacción de los clientes es nuestra prioridad más importante y estamos trabajando constantemente para no sólo dar lo mejor, sino <span class=""line""><ins> exceder </ins></span> las expectativas de nuestros clientes."
these.are.our.guiding.principles.on.our.mission.to.transform.our.clients.communities.around.the.world.and.ultimately.provide.solutions.that.are.flexible.scalable.and.efficient,"Estos son nuestros principios rectores en nuestra misión de transformar las comunidades de nuestros clientes en todo el mundo. Y, en última instancia, proporcionar soluciones que sean flexibles, escalables y eficientes."
users.first,"Primeros los Usuarios"
operations.before.features,"Operaciones antes de herramientas"
be.bold.code.safe,"Sé atrevido, codifica seguro"
open.feedback,"Retroalimentación abierto"
product.updates,"Actualizaciones de Productos"
it.gets.better.every.week,"Mejoramos contantemente"
glue.up.solutions.are.constantly.evolving.and.improving.we.release.new.features.updates.and.bug.fixes.every.week.so.you.can.have.better.experience.with.our.software.everytime.you.log.in,"Las soluciones Glue Up evolucionan y mejoran constantemente. Lanzamos nuevas funciones, actualizaciones y correcciones de errores cada semana para que puedas tener una mejor experiencia con nuestro software cada vez que inicias sesión."
servers,Servidores
all.servers.that.run.glue.up.software.in.production.are.recent.continuously.patched.linux.systems.following.the.latest.industry.standards,"Todos los servidores que ejecutan el software Glue Up en producción son sistemas Linux recientes y continuamente parcheados que siguen los últimos estándares de la industria."
depending.on.domain.your.account.is.on.your.data.is.stored.following.specific.regulations.in.a.given.country.i.e.gdpr.or.china.cybersecurity.law,"Dependiendo del dominio en el que se encuentre tu cuenta, tus datos se almacenaran de acuerdo a las regulaciones específicas de tu país (por ejemplo, GDPR o Ley de Ciberseguridad de China)."
storage.encryption,"Almacenamiento & Encriptación"
glue.up.stores.document.data.such.as.metadata.activity.original.files.and.customers.data.in.different.locations.while.also.compiling.and.generating.documents.when.requested,"Glue Up almacena datos de documentos como metadatos, actividad, archivos originales y datos de clientes en diferentes ubicaciones, mientras compila y genera documentos cuando se solicitan."
all.data.in.each.location.is.encrypted.at.rest.with.aes.256.and.sophisticated.encryption.keys.management,"Todos los datos en cada ubicación se cifran en reposo con AES-256 y una sofisticada administración de claves de cifrado."
customer.payment.information,"Información de pago del cliente"
glue.up.integrates.with.many.payment.gateways.all.of.which.are.compliant.with.pci.dss.and.does.not.process.store.or.transmit.any.payment.card.data,"Glue Up se integra con muchas pasarelas de pago, todas las cuales cumplen con PCI DSS y no procesa, almacena ni transmite ningún dato de tarjeta de pago."
system.monitoring.and.alerting,"Monitoreo del sistema y alertas"
the.production.application.and.underlying.infrastructure.components.are.monitored.247365.days.a.year.by.dedicated.monitoring.systems," La aplicación de producción y los componentes de la infraestructura subyacente se monitorean 24/7/365 días al año, mediante sistemas de monitoreo dedicados."
critical.alerts.generated.by.these.systems.are.sent.to.247365.on.call.devops.team.members.and.escalated.appropriately.to.operations.management,"Las alertas críticas generadas por estos sistemas se envían a los miembros del equipo de DevOps las 24 horas del día, los 7 días de la semana, los 365 días del año y se escalan de manera adecuada a la gestión de operaciones."
service.levels.and.backups,"Niveles de servicio y copias de seguridad"
glue.up.infrastructure.utilizes.many.layered.techniques.for.increasingly.reliable.uptime.99.9,"La infraestructura Glue Up utiliza muchas técnicas en capas para un tiempo de actividad cada vez más confiable (<99.9%)."
including.the.use.of.auto.scaling.load.balancing.task.queues.and.rolling.deployments.we.do.full.daily.automated.backups.of.our.databases.all.backups.are.encrypted,"Incluyendo el uso de escalado automático, equilibrio de carga, listas de tareas e implementaciones continuas. Hacemos copias de seguridad automáticas diarias de nuestras bases de datos. Todas las copias de seguridad están encriptadas."
vulnerability.testing,"Prueba de Vulnerabilidad"
web.application.security.is.evaluated.by.the.development.team.in.sync.with.the.application.release.cycle," La seguridad de la aplicación web es evaluada por el equipo de desarrollo en sincronía con el ciclo de lanzamiento de la aplicación."
this.vulnerability.testing.includes.the.use.of.commonly.known.web.application.security.toolkits.and.scanners.to.identify.application.vulnerabilities.before.they.are.released.into.production,"Esta prueba de vulnerabilidad incluye el uso de kits de herramientas para aplicaciones web y escáneres de seguridad comúnmente conocidos para identificar vulnerabilidades de la aplicación antes de que sean lanzadas a producción."
monetize.and.span.classlineinsenhance.insspan.your.online.events,"Monetiza y <span class=""line""><ins>Resalta </ins></span> Tus Eventos En Línea"
provide.attendees.with.premium.and.seamless.experience.that.gives.them.access.to.presentations.agenda.as.well.as.ability.to.connect.and.chat.with.each.other.during.live.events,"Proporciona a los asistentes una experiencia premium y fluida que les brinde acceso a presentaciones, agenda, así como la posibilidad de conectarse y conversar entre ellos durante eventos en vivo."
run.webinars.attendees.will.remember,"Ejecutar seminarios web que los asistentes recordarán"
plan.promote.execute.and.evaluate.one.or.hundreds.of.engaging.virtual.events.from.start.to.finish,"Planea, promueve, ejecuta y evalúa uno o cientos de eventos virtuales de comienzo a fin."
ultimate.virtual.event.management.toolkit.that.has.everything.you.need.to.run.successful.webinars,"Increíble kit de administración de eventos virtuales que tiene todo lo que necesitas para hacer seminarios web exitosos."
engage.virtually,"Interactúa virtualmente"
make.your.online.events.stand.out.and.offer.premium.networking.options.for.your.attendees,"Haz que tus eventos en línea destaquen y ofrece una experiencia premium de interacción para tus asistentes."
make.it.super.simple.for.everyone,"Hazlo super simple para todos"
premium.user.experience.battle.tested.for.your.and.all.your.attendees.absolute.comfort,"Una experiencia de usuario premium, probada en batalla para asegurar confort absoluto para ti y todos tus asistentes."
virtual.event.setup,"Ajuste del Evento Virtual"
ready.set.stream.its.that.easy,"En sus marcas, Listos, Transmitan. Es así de fácil"
create.breath.taking.event.pages.send.out.event.invitations.and.remind.your.attendees.of.your.webinars.effortlessly.in.a.few.simple.steps,"Crea páginas de eventos impresionantes, envía invitaciones a eventos y recuérdale a tus asistentes de tus seminarios web sin esfuerzo en unos simples pasos."
event.website.builder.blueprints,"Creador de sitios web de eventos y planos"
partner.promotion,"Promociones de clientes"
attendee.experience,"Experiencia del asistente"
spark.discussions.and.turn.webinars.into.experiences,"Empieza Discusiones y Convierte Seminarios Web en Experiencias"
unlimited.commenting,"Comentarios Ilimitados"
on.average.span.stylecolor0d62feglue.upspan.customers.see.span.classlineins2xinsspan.increase.in.attendee.registrations.compared.to.their.physical.events,"En promedio, <span style=""color:#0d62fe;"">Glue Up</span> nuestros clientes ven <span class=""line""><ins>2X</ins></span> un incremento en asistencia y registros en comparación con sus eventos físicos."
online.engagement,"Interacción en línea"
help.business.happen.at.your.online.events,"Ayuda a que los negocios sucedan en tus eventos en línea"
enable.your.attendees.to.create.and.share.their.own.digital.business.cards.manage.connections.they.make.and.effectively.network.with.everyone.no.matter.where.they.are,"Permite que tus asistentes creen y compartan sus propias tarjetas de presentación digitales, administren las conexiones que hacen y establezcan contactos con todos, sin importar dónde se encuentren."
media.sharing,"Comparte medios"
admin.control,"Control de administrador"
your.webinars.your.branding,"Tus Webinars, Tu Marca"
you.are.in.charge.of.the.looks.and.engagement,"Tú estás a cargo de la manera que se ve y la interacción."
tweak.event.pages.create.and.manage.different.groups.allow.and.restrict.access.or.offer.greater.functionalities.to.paying.members.of.your.community,"Ajuste las páginas de eventos, cree y administre diferentes grupos, permita y restrinja el acceso u ofrezca mayores funcionalidades a los miembros que pagan en su comunidad."
custom.branding.settings,"Configuración de marca personalizada"
customers.who.started.running.their.webinars.on.span.stylecolor0d62feglue.upspan.are.reporting.span.classlineins58insspan.increase.in.revenue.from.online.events,"Clientes que empezar a tener sus seminarios web en  <span style=""color:#0d62fe;"">Glue Up</span> están reportando <span class=""line""><ins>58%</ins></span> de incremento en ingresos de eventos en línea."
customers.span.classlineinsstickinsspan.with.glue.up,"Clientes <span class=""line""><ins>se quedan</ins></span> con Glue Up"
event.br.management.suite,"Suite <br> de Gestión de Eventos"
virtual.event.management,"Administración de Eventos Virtuales"
invoicing.payments,"Facturas y pagos"
community,Comunidad
mobile.apps,"Aplicaciones móviles"
learn.more.about.virtual.events.and.glue.up,"Conoce más sobre Eventos Digitales y Glue Up"
whats.included,"¿Qué está incluido?"
business.never.sleeps.neither.will.span.classlineinsyour.communityinsspan,"Los negocios nunca duermen, tampoco debería <span class=""line""><ins>tu comunidad</ins></span>"
the.future.of.membership.engagement.is.digital.brwe.can.help.you.succeed,"El futuro de la interacción de las membresías es digital.<br>Podemos ayudarte a ser exitoso. "
a.single.tool.from.outreach.to.engaging.your.community,"Una sola herramienta desde alance hasta la interacción de tu comunidad"
paygage.is.the.most.convenient.and.safest.choice.for.member.based.organizations.who.want.to.collect.online.payments,"Paygage es la "
our.payment.solutions.provide.fast.painless.and.secure.way.to.collect.money.and.bill.your.communities,"Nuestra solución de pagos te da una forma rápida, sencilla y segura de aceptar y solicitar pagos a tu comunidad."
all.in.one.solution,"Solución Todo-en-Uno"
ultimate.toolkit.that.has.everything.you.and.your.community.needs.for.maximum.engagement,"Increíble kit que tiene todo lo que tu comunidad y tu necesitan para interactuar."
built.in.mobile.apps,"Aplicaciones móviles integradas"
one.app.for.you.to.manage.everything.on.the.go.and.one.app.for.your.community.to.stay.connected,"Una aplicación móvil para que puedas administrar todo en tiempo real y otra aplicación móvil para que tu comunidad pueda mantenerse conectada."
easy.to.use.for.everyone,"Fácil de usar para todos"
easy.to.use,"Fácil de usar"
set.up.your.eventbr.for.success,"Haz que tu evento<br> sea un éxito"
easily.create.beautiful.event.pages.optimized.for.maximum.conversion.that.match.your.branding,"Crea hermosas páginas de eventos optimizadas para una conversión máxima que coincida con tu marca fácilmente."
set.up.vip.and.other.tickets.offer.coupons.or.early.bird.pricing,"Haz todo tipo de tickets, ej. VIP, ofrece Cupones o Precios de Compra Anticipada"
choose.supported.payment.options.and.customize.the.registration.form.to.collect.all.the.information.you.need.in.the.eventbank.crm,"Elige las opciones de pago admitidas y personaliza el formulario de registro para recopilar toda la información que necesitas en Glue Up CRM."
a.single.tool.from.outreach.to.engaging.your.members,"Una sola herramienta desde alance hasta la interactuar con tus miembros "
join.thousands.of.organizations.engaging.with.their.members.in.a.new.way,"Únete a miles de organizaciones que ya están interactuando con sus miembros en formas innovadoras"
view.all.case.studies,"Ver todos los Casos a Estudio"
key.features,"Herramientas clave"
run.span.classlineinssuccessfulinsspan.online.offline.events,"Haz <span class=""line""><ins>Eventos</ins></span> Exitosos en línea y presenciales"
plan.promote.and.execute.one.or.hundreds.of.onlineoffline.events.of.any.size.efficiently.from.start.to.finish.with.award.winning.solution,"Planea, organiza y ejecuta eficientemente uno o cientos de eventos en línea/presenciales de cualquier tamaño, desde el inicio hasta el final con una solución galardonada."
save.time.increase.engagement,"Ahorra Tiempo, Incrementa la Interacción"
increase.productivity.and.simplify.whole.event.operations.from.the.very.first.idea.to.follow.up.with.your.attendees.after.the.event.all.while.learning.deep.insights.on.every.attendee,"Aumenta tu productividad y simplifica las operaciones de tu evento, desde la planeación hasta el seguimiento post-evento, mientras descubres tendencias clave de cada asistente."
ultimate.event.management.toolkit.that.has.everything.you.need.to.run.successful.events,"Increíble kit de administración de eventos que tiene todo lo que necesitas para hacer un evento exitoso."
reach.people.where.they.are,"Alcanza a las personas donde están"
one.app.for.you.to.manage.events.from.anywhere.and.one.app.for.your.event.community.to.stay.connected,"Una aplicación móvil para que puedas administrar tus eventos desde cualquier sitio y una aplicación móvil para que la comunidad de tus eventos pueda mantenerse conectada."
event.setup,"Configuración de evento "
ready.set.go.br.that.easy,"En sus marcas, Listos, Fuera. <br>  Así de fácil"
easily.create.branded.event.pages.optimized.for.maximum.conversion.set.up.vip.and.other.tickets.offer.coupons.or.special.pricing,"Crea fácilmente páginas de eventos marcados optimizadas para una conversión máxima, configure entradas VIP y otras entradas, ofrezca cupones o precios especiales."
choose.payment.options.and.customize.registration.forms.to.collect.the.information.you.need.automatically,"Elige las opciones de pago y personaliza los formularios de registro para recopilar la información que necesitas automáticamente."
event.marketing,"Marketing de evento"
promote.events.in.a.few.clicks,"Promociona eventos con unos pocos clics"
streamline.your.email.marketing.and.send.newsletters.branded.event.invitations.and.other.emails.in.few.clicks.or.create.your.own.campaigns.using.easy.dragdrop.or.html.editor,"Optimiza tu mercadotecnia de correos electrónicos y manda boletines informativos, invitaciones personalizadas a eventos y otros correos en unos cuantos clics, o crea tus propias campañas usando fácilmente el arrastrar&soltar o el editor HTML."
event.surveys,"Encuestas de evento"
drag.drop.editor.and.custom.html,"Editor de Arrastrar & Soltar y HTML Personalizado"
clients.save.up.to.span.classlineins80insspan.time.on.creating.and.promoting.events.with.span.stylecolor0d62feglue.upspan,"Los clients ahorraron hasta <span class=""line""><ins>80%</ins></span> de tiempo en crear y promover eventos con <span style=""color:#0d62fe;"">Glue Up</span>."
manage.your.events.from.anywhere,"Administra tus eventos desde cualquier sitio"
collect.registrations.accept.payments.facilitate.smooth.check.ins.and.print.badges.onsite.directly.from.your.phone,"Recopila registros, acepta pagos, facilita registros sin problemas e imprima gafetes en el sitio directamente desde su teléfono móvil."
with.the.manager.app.or.from.the.platform.you.can.do.so.even.at.multiple.events.happening.simultaneously,"Con la aplicación móvil del Administrador o desde la plataforma, lo puedes hacer aún cuando tengas eventos al mismo tiempo."
built.in.ticket.scanner,"Escáner de boletos incorporado"
live.engagement.analytics,"Análisis de interacción en tiempo real"
event.engagement,"Interacción de evento "
help.business.happen.at.your.events,"Ayuda a que los negocios sucedan en sus eventos"
enable.your.attendees.to.create.and.share.their.own.digital.business.cards.manage.connections.they.make.at.events.and.effectively.network.with.everyone.no.matter.where.they.are,"Permite que tus asistentes creen y compartan sus propias tarjetas de presentación digitales"
private.public.groups,"Grupos públicos y privados"
business.cards.exchange,"Intercambio de tarjetas de presentación"
attendee.app,"Aplicación de asistente"
impress.attendees.with.a.free.event.app,"Impresiona a tus asistentes con una aplicación móvil gratuita"
